; list of available encodings, terminated by an empty line.
128.ts
256.ts
500.ts
1000.ts
1500.ts
2000.ts

; list of segments and respective offsets, sorted by encoding...
128.ts 0 0 1
128.ts 1 3820 1083
128.ts 2 59126 1000
128.ts 3 111048 1000
128.ts 4 160150 1000
128.ts 5 199852 1000
128.ts 6 246510 1000
128.ts 7 286964 1000
128.ts 8 320838 1000
128.ts 9 356968 1000
128.ts 10 392534 1000
128.ts 11 428477 1000
128.ts 12 463856 1000
128.ts 13 518599 1000
128.ts 14 575410 1000
128.ts 15 641997 1000
128.ts 16 698808 1000
128.ts 17 745091 1000
128.ts 18 790622 1000
128.ts 19 840289 1000
128.ts 20 889580 1000
128.ts 21 954099 1000
128.ts 22 1040238 1000
128.ts 23 1120737 1000
128.ts 24 1183564 1208
128.ts 25 1252219 1000
128.ts 26 1302638 1000
128.ts 27 1354185 791
128.ts 28 1395204 916
128.ts 29 1451827 1375
128.ts 30 1544358 1000
128.ts 31 1625045 1000
128.ts 32 1673960 1375
128.ts 33 1770063 541
128.ts 34 1800742 1000
128.ts 35 1841385 1291
128.ts 36 1912484 1000
128.ts 37 1974183 833
128.ts 38 2011066 1000
128.ts 39 2049265 1208
128.ts 40 2099308 1000
128.ts 41 2137695 1000
128.ts 42 2170630 1000
128.ts 43 2204129 1000
128.ts 44 2237628 1000
128.ts 45 2271691 1000
128.ts 46 2305566 1000
128.ts 47 2353917 1250
128.ts 48 2419752 1000
128.ts 49 2470359 625
128.ts 50 2502730 1000
128.ts 51 2542245 791
128.ts 52 2585708 1000
128.ts 53 2631991 1000
128.ts 54 2681094 1000
128.ts 55 2730385 1000
128.ts 56 2781744 1375
128.ts 57 2832163 1000
128.ts 58 2870926 1125
128.ts 59 2924353 1083
128.ts 60 2971200 958
128.ts 61 3008835 1000
128.ts 62 3041958 1000
128.ts 63 3076397 1000
128.ts 64 3118356 250
128.ts 65 3127603 1000
128.ts 66 3174826 1000
128.ts 67 3221861 1000
128.ts 68 3263444 958
128.ts 69 3305967 1000
128.ts 70 3345106 1833
128.ts 71 3431433 1000
